0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,movie
Pearl Harbor (2001),Bad Boys II (2003),Save the Last Dance (2001),"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)",Gone in 60 Seconds (2000),Blade: Trinity (2004),"League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003)",Final Destination (2000),Men of Honor (2000),Van Helsing (2004),Pay It Forward (2000),Enemy at the Gates (2001),Paycheck (2003),Hancock (2008),"Fast and the Furious, The (2001)",Ocean's Thirteen (2007),xXx (2002),X-Men Origins: Wolverine (2009),National Lampoon's Van Wilder (2002),"Scorpion King, The (2002)",Pearl Harbor (2001)
"Good Night, and Good Luck. (2005)","Lives of Others, The (Das leben der Anderen) (2006)","Wrestler, The (2008)","Motorcycle Diaries, The (Diarios de motocicleta) (2004)","Last King of Scotland, The (2006)",Capote (2005),"Station Agent, The (2003)","Good bye, Lenin! (2003)","Squid and the Whale, The (2005)",Coraline (2009),Volver (2006),Far from Heaven (2002),Talk to Her (Hable con Ella) (2002),"King's Speech, The (2010)",Babel (2006),True Grit (2010),Match Point (2005),City of God (Cidade de Deus) (2002),"Constant Gardener, The (2005)",Spellbound (2002),"Good Night, and Good Luck. (2005)"
American Pie 2 (2001),American Wedding (American Pie 3) (2003),Road Trip (2000),Mission: Impossible II (2000),Lara Croft Tomb Raider: The Cradle of Life (2003),Scary Movie (2000),Scary Movie 2 (2001),Coyote Ugly (2000),S.W.A.T. (2003),"Replacements, The (2000)",Live Free or Die Hard (2007),"Da Vinci Code, The (2006)",We Were Soldiers (2002),"Time Machine, The (2002)",Die Another Day (2002),40 Days and 40 Nights (2002),"Incredible Hulk, The (2008)",The Count of Monte Cristo (2002),"Sum of All Fears, The (2002)",Terminator 3: Rise of the Machines (2003),American Pie 2 (2001)
Spellbound (2002),"Last King of Scotland, The (2006)","Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)","Illusionist, The (2006)",Confessions of a Dangerous Mind (2002),"Good bye, Lenin! (2003)",Eastern Promises (2007),Capote (2005),3:10 to Yuma (2007),Band of Brothers (2001),Whale Rider (2002),Walk the Line (2005),American Gangster (2007),Coraline (2009),"Hurt Locker, The (2008)","Very Long Engagement, A (Un long dimanche de fianÃ§ailles) (2004)",Slumdog Millionaire (2008),Rabbit-Proof Fence (2002),Argo (2012),"Wrestler, The (2008)",Spellbound (2002)
"Ring, The (2002)",Minority Report (2002),School of Rock (2003),Clerks II (2006),"Blind Side, The  (2009)","Hitchhiker's Guide to the Galaxy, The (2005)",Sherlock Holmes: A Game of Shadows (2011),"Motorcycle Diaries, The (Diarios de motocicleta) (2004)",Rabbit-Proof Fence (2002),King Kong (2005),Hero (Ying xiong) (2002),Mean Girls (2004),Ice Age 2: The Meltdown (2006),Proof of Life (2000),"Ladykillers, The (2004)","History of Violence, A (2005)","Good bye, Lenin! (2003)",House of Flying Daggers (Shi mian mai fu) (2004),"Man from Earth, The (2007)",Matchstick Men (2003),"Ring, The (2002)"
"Aviator, The (2004)",Road to Perdition (2002),"Station Agent, The (2003)",Hotel Rwanda (2004),"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",Amores Perros (Love's a Bitch) (2000),American Gangster (2007),"Last King of Scotland, The (2006)",Slumdog Millionaire (2008),3:10 to Yuma (2007),Spellbound (2002),"Lives of Others, The (Das leben der Anderen) (2006)","Very Long Engagement, A (Un long dimanche de fianÃ§ailles) (2004)",You Can Count on Me (2000),Dirty Pretty Things (2002),"Das Experiment (Experiment, The) (2001)","Pianist, The (2002)",Gone Baby Gone (2007),"Good bye, Lenin! (2003)",Confessions of a Dangerous Mind (2002),"Aviator, The (2004)"
Meet the Parents (2000),Panic Room (2002),Runaway Jury (2003),Skyfall (2012),Meet the Fockers (2004),About a Boy (2002),Road to Perdition (2002),Cinderella Man (2005),Holes (2003),"Bourne Ultimatum, The (2007)",Tropic Thunder (2008),"Hangover, The (2009)",Secondhand Lions (2003),Along Came Polly (2004),Sweeney Todd: The Demon Barber of Fleet Street (2007),X2: X-Men United (2003),Live Free or Die Hard (2007),Thirteen Days (2000),Shanghai Noon (2000),"Pursuit of Happyness, The (2006)",Meet the Parents (2000)
Gone in 60 Seconds (2000),"Italian Job, The (2003)",Lara Croft Tomb Raider: The Cradle of Life (2003),"Transporter, The (2002)","Recruit, The (2003)",Ocean's Twelve (2004),"Chronicles of Riddick, The (2004)",Die Another Day (2002),Ocean's Thirteen (2007),Red Planet (2000),Star Trek: Nemesis (2002),Bandits (2001),Final Destination (2000),"I, Robot (2004)",We Were Soldiers (2002),Shaft (2000),"Island, The (2005)","Replacements, The (2000)",National Lampoon's Van Wilder (2002),"Scorpion King, The (2002)",Gone in 60 Seconds (2000)
Sideways (2004),American Splendor (2003),Amores Perros (Love's a Bitch) (2000),Before Sunset (2004),"Aviator, The (2004)",Monsoon Wedding (2001),Almost Famous (2000),"Inconvenient Truth, An (2006)","Wrestler, The (2008)",Let the Right One In (LÃ¥t den rÃ¤tte komma in) (2008),"Station Agent, The (2003)",You Can Count on Me (2000),"Pianist, The (2002)",Billy Elliot (2000),"Good Girl, The (2002)",Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001),High Fidelity (2000),Hotel Rwanda (2004),Fantastic Mr. Fox (2009),"Good Night, and Good Luck. (2005)",Sideways (2004)
I Heart Huckabees (2004),"Last King of Scotland, The (2006)",Amores Perros (Love's a Bitch) (2000),Confessions of a Dangerous Mind (2002),"O Brother, Where Art Thou? (2000)",Eternal Sunshine of the Spotless Mind (2004),"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",Rabbit-Proof Fence (2002),"Station Agent, The (2003)",Looper (2012),Garden State (2004),Wallace & Gromit in The Curse of the Were-Rabbit (2005),Juno (2007),Layer Cake (2004),(500) Days of Summer (2009),Spellbound (2002),Whale Rider (2002),Gone Baby Gone (2007),Talk to Her (Hable con Ella) (2002),Insomnia (2002),I Heart Huckabees (2004)
Avatar (2009),DÃ©jÃ  Vu (Deja Vu) (2006),Star Trek (2009),I Am Legend (2007),"I, Robot (2004)",X-Men: First Class (2011),Along Came a Spider (2001),"Hobbit: An Unexpected Journey, The (2012)","Animatrix, The (2003)",Enemy at the Gates (2001),Blood Diamond (2006),"Island, The (2005)",Wanted (2008),"Last Samurai, The (2003)",Sherlock Holmes: A Game of Shadows (2011),How to Train Your Dragon (2010),Thor (2011),Troy (2004),Despicable Me (2010),Kung Fu Panda (2008),Avatar (2009)
50 First Dates (2004),Taken (2008),What Women Want (2000),"Devil Wears Prada, The (2006)",Madagascar (2005),Two Weeks Notice (2002),Hitch (2005),"Recruit, The (2003)",Space Cowboys (2000),Something's Gotta Give (2003),Along Came a Spider (2001),X-Men: First Class (2011),Troy (2004),Thor (2011),Keeping the Faith (2000),"Knight's Tale, A (2001)",How the Grinch Stole Christmas (a.k.a. The Grinch) (2000),Orange County (2002),Click (2006),"Sum of All Fears, The (2002)",50 First Dates (2004)
I Am Legend (2007),"I, Robot (2004)",DÃ©jÃ  Vu (Deja Vu) (2006),"Recruit, The (2003)",Troy (2004),Kingdom of Heaven (2005),"Last Samurai, The (2003)",Along Came a Spider (2001),Shutter Island (2010),Enemy at the Gates (2001),"Italian Job, The (2003)",Hitch (2005),Skyfall (2012),Ocean's Thirteen (2007),Inside Man (2006),Secret Window (2004),Blood Diamond (2006),X-Men: First Class (2011),Man on Fire (2004),Star Trek: Nemesis (2002),I Am Legend (2007)
Scott Pilgrim vs. the World (2010),Coraline (2009),Zombieland (2009),True Grit (2010),"Prestige, The (2006)","Last King of Scotland, The (2006)","Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",Primer (2004),"Triplets of Belleville, The (Les triplettes de Belleville) (2003)",Looper (2012),"Science of Sleep, The (La science des rÃªves) (2006)",Kung Fu Hustle (Gong fu) (2004),Matchstick Men (2003),"Downfall (Untergang, Der) (2004)","King's Speech, The (2010)",Argo (2012),Grindhouse (2007),Gone Baby Gone (2007),Eastern Promises (2007),American Gangster (2007),Scott Pilgrim vs. the World (2010)
School of Rock (2003),Walk the Line (2005),Whale Rider (2002),Frida (2002),Hotel Rwanda (2004),Once (2006),Confessions of a Dangerous Mind (2002),"Squid and the Whale, The (2005)",Igby Goes Down (2002),Corpse Bride (2005),In America (2002),"Last King of Scotland, The (2006)",Chocolat (2000),Proof of Life (2000),You Can Count on Me (2000),"I Love You, Man (2009)",Sherlock Holmes: A Game of Shadows (2011),Cold Mountain (2003),"Station Agent, The (2003)",Matchstick Men (2003),School of Rock (2003)
Best in Show (2000),Monster (2003),"Station Agent, The (2003)",Capote (2005),"Mighty Wind, A (2003)",In the Bedroom (2001),"Lives of Others, The (Das leben der Anderen) (2006)",You Can Count on Me (2000),Super Size Me (2004),"Good Night, and Good Luck. (2005)",Persepolis (2007),Before Sunset (2004),American Splendor (2003),Insomnia (2002),Amores Perros (Love's a Bitch) (2000),Broken Flowers (2005),Traffic (2000),Eternal Sunshine of the Spotless Mind (2004),Confessions of a Dangerous Mind (2002),Adaptation (2002),Best in Show (2000)
"Lord of the Rings: The Return of the King, The (2003)","Lord of the Rings: The Two Towers, The (2002)","Lord of the Rings: The Fellowship of the Ring, The (2001)",Argo (2012),Up in the Air (2009),True Grit (2010),Gone Baby Gone (2007),How to Train Your Dragon (2010),X2: X-Men United (2003),3:10 to Yuma (2007),American Gangster (2007),Batman Begins (2005),Looper (2012),Lemony Snicket's A Series of Unfortunate Events (2004),"Prestige, The (2006)",Howl's Moving Castle (Hauru no ugoku shiro) (2004),Band of Brothers (2001),"Downfall (Untergang, Der) (2004)","King's Speech, The (2010)",Far from Heaven (2002),"Lord of the Rings: The Return of the King, The (2003)"
Blade II (2002),"Transporter, The (2002)",Spy Game (2001),Red Planet (2000),Along Came a Spider (2001),Mr. Deeds (2002),Taken (2008),Kingdom of Heaven (2005),We Were Soldiers (2002),"I, Robot (2004)",Titan A.E. (2000),Spider-Man 3 (2007),Gone in 60 Seconds (2000),Shaft (2000),National Treasure (2004),"Italian Job, The (2003)",Madagascar (2005),Shanghai Noon (2000),Clerks II (2006),Saw II (2005),Blade II (2002)
"Royal Tenenbaums, The (2001)","Squid and the Whale, The (2005)",Amores Perros (Love's a Bitch) (2000),"Good Night, and Good Luck. (2005)",Solaris (2002),Fantastic Mr. Fox (2009),Eternal Sunshine of the Spotless Mind (2004),"Life Aquatic with Steve Zissou, The (2004)",Old Boy (2003),Burn After Reading (2008),Children of Men (2006),Ghost World (2001),High Fidelity (2000),Secretary (2002),Adaptation (2002),Shaun of the Dead (2004),Whale Rider (2002),American Splendor (2003),Donnie Darko (2001),Gosford Park (2001),"Royal Tenenbaums, The (2001)"
"Incredibles, The (2004)","Monsters, Inc. (2001)",Finding Nemo (2003),Shrek (2001),Ratatouille (2007),Hotel Rwanda (2004),Up (2009),Super Size Me (2004),WALLÂ·E (2008),Over the Hedge (2006),Frida (2002),Chicken Run (2000),Kung Fu Hustle (Gong fu) (2004),How to Train Your Dragon (2010),Confessions of a Dangerous Mind (2002),Kung Fu Panda (2008),Match Point (2005),Shrek 2 (2004),Far from Heaven (2002),X2: X-Men United (2003),"Incredibles, The (2004)"
Cast Away (2000),"Terminal, The (2004)",Letters from Iwo Jima (2006),How to Train Your Dragon (2010),Secret Window (2004),Limitless (2011),Sherlock Holmes: A Game of Shadows (2011),"Beautiful Mind, A (2001)",Proof of Life (2000),Shutter Island (2010),Despicable Me (2010),Catch Me If You Can (2002),"Manchurian Candidate, The (2004)","Incredible Hulk, The (2008)",X-Men: First Class (2011),Inside Man (2006),Runaway Jury (2003),"Importance of Being Earnest, The (2002)",Source Code (2011),Band of Brothers (2001),Cast Away (2000)
Phone Booth (2002),"Manchurian Candidate, The (2004)",Frailty (2001),Thirteen Days (2000),Into the Wild (2007),"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",Eastern Promises (2007),Something's Gotta Give (2003),Coraline (2009),Runaway Jury (2003),Midnight in Paris (2011),Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001),Along Came Polly (2004),Frequency (2000),Skyfall (2012),"Das Experiment (Experiment, The) (2001)",Matchstick Men (2003),"Last King of Scotland, The (2006)",Hotel Rwanda (2004),Jarhead (2005),Phone Booth (2002)
Casino Royale (2006),Looper (2012),"Bourne Ultimatum, The (2007)","Bourne Identity, The (2002)","Prestige, The (2006)",Skyfall (2012),Batman Begins (2005),"King's Speech, The (2010)",Gone Baby Gone (2007),Argo (2012),True Grit (2010),Despicable Me (2010),Runaway Jury (2003),"Bourne Supremacy, The (2004)",Road to Perdition (2002),"Dark Knight Rises, The (2012)",Ocean's Eleven (2001),Secondhand Lions (2003),Zombieland (2009),X2: X-Men United (2003),Casino Royale (2006)
Inception (2010),"Prestige, The (2006)","Dark Knight, The (2008)",Catch Me If You Can (2002),"Dark Knight Rises, The (2012)",Man on Fire (2004),Coraline (2009),Looper (2012),"Departed, The (2006)","Last King of Scotland, The (2006)",Despicable Me (2010),"Bourne Identity, The (2002)",Matchstick Men (2003),Eastern Promises (2007),Thirteen Days (2000),"King's Speech, The (2010)",Django Unchained (2012),Ocean's Eleven (2001),"Hurt Locker, The (2008)",Inside Man (2006),Inception (2010)
About a Boy (2002),Hotel Rwanda (2004),Runaway Jury (2003),Match Point (2005),Monsoon Wedding (2001),Kung Fu Panda (2008),"Aviator, The (2004)","Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",Sherlock Holmes: A Game of Shadows (2011),Super Size Me (2004),Frailty (2001),Collateral (2004),Eastern Promises (2007),You Can Count on Me (2000),Spellbound (2002),Erin Brockovich (2000),Holes (2003),Michael Clayton (2007),Walk the Line (2005),Road to Perdition (2002),About a Boy (2002)
Austin Powers in Goldmember (2002),Dodgeball: A True Underdog Story (2004),Rat Race (2001),Clerks II (2006),Red Dragon (2002),Blade II (2002),"Brothers Grimm, The (2005)",Mission: Impossible III (2006),Titan A.E. (2000),Road Trip (2000),King Kong (2005),Bandits (2001),"Me, Myself & Irene (2000)","I, Robot (2004)",Constantine (2005),Blow (2001),Skyfall (2012),Walk the Line (2005),Gone Baby Gone (2007),National Lampoon's Van Wilder (2002),Austin Powers in Goldmember (2002)
Shanghai Knights (2003),Tangled (2010),Iron Man 2 (2010),Keeping the Faith (2000),"Italian Job, The (2003)",How to Train Your Dragon (2010),Runaway Jury (2003),Ocean's Thirteen (2007),Live Free or Die Hard (2007),Kingdom of Heaven (2005),Over the Hedge (2006),Kung Fu Panda (2008),Spanglish (2004),"King's Speech, The (2010)",Skyfall (2012),Mean Girls (2004),Limitless (2011),"Recruit, The (2003)","Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",Shanghai Noon (2000),Shanghai Knights (2003)
Stranger than Fiction (2006),Hotel Rwanda (2004),Gone Baby Gone (2007),"Last King of Scotland, The (2006)","King's Speech, The (2010)",Eastern Promises (2007),American Gangster (2007),Letters from Iwo Jima (2006),Coraline (2009),"Motorcycle Diaries, The (Diarios de motocicleta) (2004)",Blood Diamond (2006),Runaway Jury (2003),Atonement (2007),25th Hour (2002),Walk the Line (2005),Juno (2007),Into the Wild (2007),Despicable Me (2010),Zodiac (2007),Catch Me If You Can (2002),Stranger than Fiction (2006)
Scary Movie (2000),Scary Movie 2 (2001),American Pie 2 (2001),American Wedding (American Pie 3) (2003),Road Trip (2000),Austin Powers in Goldmember (2002),Not Another Teen Movie (2001),Dodgeball: A True Underdog Story (2004),Romeo Must Die (2000),From Hell (2001),Changing Lanes (2002),Harold and Kumar Go to White Castle (2004),Rat Race (2001),Clerks II (2006),Resident Evil: Apocalypse (2004),"Simpsons Movie, The (2007)",Underworld (2003),Terminator 3: Rise of the Machines (2003),"Girl with the Dragon Tattoo, The (2011)","Incredible Hulk, The (2008)",Scary Movie (2000)
King Kong (2005),Red Dragon (2002),Secret Window (2004),"Illusionist, The (2006)",Matchstick Men (2003),Catch Me If You Can (2002),Skyfall (2012),"Simpsons Movie, The (2007)",Proof of Life (2000),Runaway Jury (2003),Hotel Rwanda (2004),"King's Speech, The (2010)",Confessions of a Dangerous Mind (2002),"Hurt Locker, The (2008)","Man from Earth, The (2007)",Gone Baby Gone (2007),Ray (2004),Live Free or Die Hard (2007),Source Code (2011),Life as a House (2001),King Kong (2005)
Ratatouille (2007),How to Train Your Dragon (2010),Up (2009),WALLÂ·E (2008),"Incredibles, The (2004)",Super Size Me (2004),"Downfall (Untergang, Der) (2004)",Kung Fu Panda (2008),Coraline (2009),Finding Nemo (2003),Hotel Rwanda (2004),Frida (2002),"King's Speech, The (2010)","Hobbit: An Unexpected Journey, The (2012)","Monsters, Inc. (2001)","March of the Penguins (Marche de l'empereur, La) (2005)",Gone Baby Gone (2007),"Good bye, Lenin! (2003)","Maria Full of Grace (Maria, Llena eres de gracia) (2004)","Hurt Locker, The (2008)",Ratatouille (2007)
Lara Croft: Tomb Raider (2001),"Day After Tomorrow, The (2004)",Lara Croft Tomb Raider: The Cradle of Life (2003),"Knight's Tale, A (2001)","Italian Job, The (2003)",X-Men Origins: Wolverine (2009),Paycheck (2003),Ocean's Thirteen (2007),"Chronicles of Riddick, The (2004)",We Were Soldiers (2002),Bruce Almighty (2003),Hancock (2008),Die Another Day (2002),National Treasure (2004),"Sum of All Fears, The (2002)",Mission: Impossible III (2006),American Wedding (American Pie 3) (2003),Mission: Impossible II (2000),Men of Honor (2000),"Da Vinci Code, The (2006)",Lara Croft: Tomb Raider (2001)
"Hunger Games, The (2012)",Matchstick Men (2003),Skyfall (2012),Sherlock Holmes: A Game of Shadows (2011),Proof of Life (2000),"Beautiful Mind, A (2001)",Midnight in Paris (2011),"Hobbit: An Unexpected Journey, The (2012)",Band of Brothers (2001),Taken (2008),X-Men: First Class (2011),Source Code (2011),"Man from Earth, The (2007)",Clerks II (2006),"Simpsons Movie, The (2007)","Importance of Being Earnest, The (2002)",Live Free or Die Hard (2007),Argo (2012),Looper (2012),Sunshine (2007),"Hunger Games, The (2012)"
Mr. & Mrs. Smith (2005),Hitch (2005),Constantine (2005),Along Came a Spider (2001),Final Destination (2000),Ocean's Thirteen (2007),Click (2006),"Pursuit of Happyness, The (2006)","Brothers Grimm, The (2005)","Transporter, The (2002)",Paycheck (2003),Skyfall (2012),Boiler Room (2000),Space Cowboys (2000),Panic Room (2002),"Illusionist, The (2006)",Ocean's Twelve (2004),Finding Forrester (2000),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Shanghai Noon (2000),Mr. & Mrs. Smith (2005)
Napoleon Dynamite (2004),Walk the Line (2005),Whale Rider (2002),Frida (2002),"Fountain, The (2006)",Volver (2006),Broken Flowers (2005),"Girl with the Dragon Tattoo, The (MÃ¤n som hatar kvinnor) (2009)",Donnie Darko (2001),Confessions of a Dangerous Mind (2002),Hero (Ying xiong) (2002),Rabbit-Proof Fence (2002),Best in Show (2000),"Lives of Others, The (Das leben der Anderen) (2006)",Monster (2003),Eternal Sunshine of the Spotless Mind (2004),"Squid and the Whale, The (2005)",School of Rock (2003),Adaptation (2002),About Schmidt (2002),Napoleon Dynamite (2004)
Bend It Like Beckham (2002),My Big Fat Greek Wedding (2002),Chocolat (2000),Legally Blonde (2001),Finding Neverland (2004),Stardust (2007),Cars (2006),Frida (2002),About a Boy (2002),Shrek (2001),Corpse Bride (2005),Walk the Line (2005),"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",Big Fish (2003),Hotel Rwanda (2004),Intolerable Cruelty (2003),Keeping the Faith (2000),"Devil Wears Prada, The (2006)",School of Rock (2003),"Monsters, Inc. (2001)",Bend It Like Beckham (2002)
Munich (2005),"Last King of Scotland, The (2006)","Constant Gardener, The (2005)",Confessions of a Dangerous Mind (2002),Road to Perdition (2002),Volver (2006),Super Size Me (2004),Jarhead (2005),"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)","Illusionist, The (2006)",Eastern Promises (2007),Spellbound (2002),"Maria Full of Grace (Maria, Llena eres de gracia) (2004)","Good Night, and Good Luck. (2005)","Motorcycle Diaries, The (Diarios de motocicleta) (2004)",In America (2002),Walk the Line (2005),Capote (2005),Far from Heaven (2002),Mystic River (2003),Munich (2005)
Matchstick Men (2003),Coraline (2009),Sherlock Holmes: A Game of Shadows (2011),Proof of Life (2000),Catch Me If You Can (2002),"Girl with the Dragon Tattoo, The (MÃ¤n som hatar kvinnor) (2009)",Skyfall (2012),"Hunger Games, The (2012)","Importance of Being Earnest, The (2002)",Howl's Moving Castle (Hauru no ugoku shiro) (2004),"Last King of Scotland, The (2006)","Prestige, The (2006)","Station Agent, The (2003)","Beautiful Mind, A (2001)","King's Speech, The (2010)","Das Experiment (Experiment, The) (2001)",Thirteen Days (2000),Lucky Number Slevin (2006),"Simpsons Movie, The (2007)",Gone Baby Gone (2007),Matchstick Men (2003)
Jurassic Park III (2001),"Day After Tomorrow, The (2004)",National Treasure (2004),Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002),Lara Croft Tomb Raider: The Cradle of Life (2003),Die Another Day (2002),Iron Man 2 (2010),Ocean's Thirteen (2007),Kingdom of Heaven (2005),Terminator 3: Rise of the Machines (2003),Live Free or Die Hard (2007),Evolution (2001),X-Men: The Last Stand (2006),American Wedding (American Pie 3) (2003),X-Men Origins: Wolverine (2009),We Were Soldiers (2002),Ocean's Twelve (2004),"Girl Next Door, The (2004)",Lara Croft: Tomb Raider (2001),"Recruit, The (2003)",Jurassic Park III (2001)
Finding Nemo (2003),"Monsters, Inc. (2001)","Incredibles, The (2004)",Shrek (2001),Ice Age (2002),Up (2009),Ratatouille (2007),How to Train Your Dragon (2010),Match Point (2005),Hotel Rwanda (2004),Lilo & Stitch (2002),13 Going on 30 (2004),WALLÂ·E (2008),Runaway Jury (2003),Erin Brockovich (2000),Ice Age 2: The Meltdown (2006),"March of the Penguins (Marche de l'empereur, La) (2005)",Super Size Me (2004),"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",Spanglish (2004),Finding Nemo (2003)
